date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:20	109/109	---MCZ	200	added ('OK')	text/plain	etag:%221-1722279714;gz%22	https://kitpro.site/robots.txt		(from )
11:44:20	60055/60055	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2006:43:57%20GMT	https://kitpro.site/delivey/template-kit/	Z:/Templates%20Default/Delivey/kitpro.site/delivey/template-kit/index.html	(from )
11:44:21	75854/75854	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202024%2002:23:14%20GMT	https://kitpro.site/delivey/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.36	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend4f2e.css	(from https://kitpro.site/delivey/template-kit/)
11:44:23	210005/210005	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2003:23:19%20GMT	https://kitpro.site/delivey/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.3	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main6fca.css	(from https://kitpro.site/delivey/template-kit/)
11:44:23	182194/182194	---MC-	200	added ('OK')	application/rss+xml	etag:%22f2863258ff90fdcc9a4df78c5d782c93%22	https://kitpro.site/delivey/template-kit/feed/	Z:/Templates%20Default/Delivey/kitpro.site/delivey/template-kit/feed/index.html	(from https://kitpro.site/delivey/template-kit/)
11:44:25	1111/1111	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Oct%202021%2006:31:37%20GMT	https://kitpro.site/delivey/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://kitpro.site/delivey/template-kit/)
11:44:26	776/776	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202024%2002:23:14%20GMT	https://kitpro.site/delivey/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.36	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor4f2e.css	(from https://kitpro.site/delivey/template-kit/)
11:44:26	19778/19778	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2003:31:12%20GMT	https://kitpro.site/delivey/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://kitpro.site/delivey/template-kit/)
11:44:27	118945/118945	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2003:31:11%20GMT	https://kitpro.site/delivey/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.8	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/elementor/assets/css/frontend-lite.min3cad.css	(from https://kitpro.site/delivey/template-kit/)
11:44:27	16471/16471	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2003:31:13%20GMT	https://kitpro.site/delivey/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://kitpro.site/delivey/template-kit/)
11:44:27	14392/14392	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2005:18:04%20GMT	https://kitpro.site/delivey/wp-content/uploads/sites/70/elementor/css/post-6.css?ver=1705468684	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/uploads/sites/70/elementor/css/post-691fb.css	(from https://kitpro.site/delivey/template-kit/)
11:44:28	9323/9323	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2005:18:05%20GMT	https://kitpro.site/delivey/wp-content/uploads/sites/70/elementor/css/post-270.css?ver=1705468685	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/uploads/sites/70/elementor/css/post-270299e.css	(from https://kitpro.site/delivey/template-kit/)
11:44:29	17785/17785	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2005:18:05%20GMT	https://kitpro.site/delivey/wp-content/uploads/sites/70/elementor/css/post-293.css?ver=1705468685	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/uploads/sites/70/elementor/css/post-293299e.css	(from https://kitpro.site/delivey/template-kit/)
11:44:29	22474/22474	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Sep%202023%2002:16:45%20GMT	https://kitpro.site/delivey/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.5.0	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/metform/public/assets/css/text-editor3b71.css	(from https://kitpro.site/delivey/template-kit/)
11:44:30	6082/6082	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Sep%202023%2002:17:22%20GMT	https://kitpro.site/delivey/wp-content/themes/hello-elementor/style.min.css?ver=2.8.1	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/themes/hello-elementor/style.min1102.css	(from https://kitpro.site/delivey/template-kit/)
11:44:30	13055/13055	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Sep%202023%2002:17:22%20GMT	https://kitpro.site/delivey/wp-content/themes/hello-elementor/theme.min.css?ver=2.8.1	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/themes/hello-elementor/theme.min1102.css	(from https://kitpro.site/delivey/template-kit/)
11:44:33	124837/124837	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2003:23:05%20GMT	https://kitpro.site/delivey/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=3.0.6	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons7c45.css	(from https://kitpro.site/delivey/template-kit/)
11:44:34	30299/30299	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2003:23:05%20GMT	https://kitpro.site/delivey/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=3.0.6	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive7c45.css	(from https://kitpro.site/delivey/template-kit/)
11:44:36	445765/445765	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2003:23:05%20GMT	https://kitpro.site/delivey/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.0.6	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles7c45.css	(from https://kitpro.site/delivey/template-kit/)
11:44:38	58071/58071	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2003:31:13%20GMT	https://kitpro.site/delivey/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	Z:/Templates%20Default/Delivey/kitpro.site/delivey/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://kitpro.site/delivey/template-kit/)
